SampleID	CONTIG_COUNT	TOTAL_LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	GC%	T2T_SCAFFOLDS	TELOMERE_FWD	TELOMERE_REV	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes
CCFEE_5036.AAFTF	175	19925181	512	584254	54164	113858.18	24	310430	72	83264	60.58	NA	17	14	96.1	96.0	0.1	1.2	2.7	1764
DBVPG_10075.AAFTF	83	22685085	505	1559765	90390	273314.28	10	737661	31	246748	48.94	NA	NA	NA	90.2	90.0	0.2	1.9	7.9	1764
DBVPG_10348.AAFTF	111	18803808	587	1227408	105492	169403.68	18	349864	55	107176	62.59	1	18	11	95.4	95.3	0.1	1.5	3.1	1764
DBVPG_10383.AAFTF	240	21824908	519	937713	17706	90937.12	23	284305	77	75454	67.51	NA	17	13	97.9	97.8	0.1	0.6	1.5	1764
DBVPG_10619.AAFTF	179	20037327	512	971613	25442	111940.37	15	445237	58	86783	60.59	NA	18	11	94.4	91.6	2.8	0.9	4.7	1764
DBVPG_10656.AAFTF	168	20210493	507	1265289	50795	120300.55	19	314880	63	90814	60.57	2	12	20	96.8	95.4	1.4	0.9	2.3	1764
DBVPG_10753.AAFTF	279	21878229	501	841207	11672	78416.59	29	245740	91	73525	67.53	NA	14	17	98.1	98.0	0.1	0.6	1.3	1764
DBVPG_10780.AAFTF	176	20123891	515	1073722	28316	114340.29	18	381933	61	94890	60.56	1	19	15	95.8	95.6	0.2	1.2	3.0	1764
DBVPG_10842.AAFTF	183	20043732	511	1118028	34289	109528.59	19	321723	65	100433	60.56	NA	15	17	96.2	95.7	0.5	0.9	2.9	1764
DBVPG_10882.AAFTF	179	19901830	512	954161	45400	111183.41	22	274599	71	81936	60.58	NA	14	19	96.6	96.5	0.1	1.1	2.3	1764
DBVPG_10886.AAFTF	185	19117878	516	671860	25021	103339.88	21	323114	66	94099	60.55	1	14	17	91.5	91.3	0.2	1.2	7.3	1764
DBVPG_10937.AAFTF	186	20411091	522	1124404	41759	109737.05	23	271283	71	94786	60.57	1	25	8	96.0	95.8	0.2	0.9	3.1	1764
DBVPG_3044.AAFTF	177	19643715	513	1330255	24745	110981.44	17	309406	58	102770	60.53	NA	13	17	95.3	95.2	0.1	0.7	4.0	1764
DBVPG_3045.AAFTF	754	38468233	501	497806	24293	51018.88	95	114093	324	36015	60.36	NA	28	32	96.9	27.9	69.0	1.1	2.0	1764
DBVPG_3090.AAFTF	440	20113228	500	1281815	696	45711.88	21	287178	67	80514	60.46	NA	14	16	96.4	96.3	0.1	0.8	2.8	1764
DBVPG_3235.AAFTF	245	19806251	512	773399	11193	80841.84	22	267044	79	67938	60.54	NA	14	14	95.4	95.2	0.2	1.0	3.6	1764
DBVPG_3236.AAFTF	193	18840552	521	1214645	35536	97619.44	22	236526	73	76993	60.56	NA	20	10	90.5	89.5	1.0	1.0	8.5	1764
DBVPG_3237.AAFTF	243	19858041	510	754238	20399	81720.33	26	251233	84	65432	60.53	NA	15	16	95.7	95.6	0.1	1.0	3.3	1764
DBVPG_3238.AAFTF	404	19595708	500	703651	730	48504.23	22	309596	71	71145	60.49	NA	16	15	94.2	94.2	0.0	1.2	4.6	1764
DBVPG_3381.AAFTF	174	19488812	514	1127923	16310	112004.67	17	323650	56	113954	60.55	NA	16	15	94.4	94.4	0.0	0.9	4.7	1764
DBVPG_3382.AAFTF	182	19585255	532	879589	16858	107611.29	19	324766	59	112391	60.55	NA	19	12	94.9	94.8	0.1	0.8	4.3	1764
DBVPG_3383.AAFTF	204	19478824	500	824039	11192	95484.43	21	283856	65	88376	60.58	NA	19	12	94.4	94.4	0.0	0.9	4.7	1764
DBVPG_3384.AAFTF	211	19528850	518	1163064	11966	92553.79	21	265652	67	91653	60.57	NA	17	13	94.4	94.4	0.0	0.9	4.7	1764
DBVPG_3442.AAFTF	349	20250264	500	786072	837	58023.68	25	275475	76	81211	60.48	NA	13	18	96.7	96.1	0.6	1.1	2.2	1764
DBVPG_3443.AAFTF	228	20028674	501	756571	10500	87845.06	24	290229	75	80451	60.53	NA	14	17	96.6	96.5	0.1	1.3	2.1	1764
DBVPG_3444.AAFTF	841	39429162	500	497453	20649	46883.66	105	115305	354	30303	60.35	NA	29	36	96.7	25.4	71.3	1.4	1.9	1764
DBVPG_3768.AAFTF	151	19102890	505	2024694	18631	126509.21	13	418713	46	110874	61.99	1	12	17	93.7	93.5	0.2	1.0	5.3	1764
DBVPG_3769.AAFTF	142	18308713	505	1093653	10144	128934.60	13	451013	42	115248	62.03	1	15	15	90.8	90.6	0.2	1.2	8.0	1764
DBVPG_3770.AAFTF	128	19014547	511	1306163	22560	148551.15	13	451026	42	147962	62.00	1	13	16	93.5	93.3	0.2	1.2	5.3	1764
DBVPG_3771.AAFTF	220	19416574	505	1041157	20886	88257.15	24	230406	77	73845	62.03	NA	15	14	94.9	94.8	0.1	1.4	3.7	1764
DBVPG_3772.AAFTF	115	18094514	506	1093679	32376	157343.60	12	457605	39	154409	62.03	1	13	16	90.2	90.0	0.2	1.2	8.6	1764
DBVPG_3773.AAFTF	163	19474243	511	1041456	26574	119473.88	19	345285	56	101542	62.03	NA	15	15	95.6	95.3	0.3	1.2	3.2	1764
DBVPG_3774.AAFTF	189	19483286	520	949403	11192	103086.17	18	331239	59	104945	60.55	NA	14	17	94.2	94.2	0.0	1.0	4.8	1764
DBVPG_3775.AAFTF	158	19981421	516	1072810	27926	126464.69	17	376214	54	115597	60.57	NA	14	17	97.0	96.9	0.1	0.8	2.2	1764
DBVPG_3776.AAFTF	223	20030989	504	756599	4263	89825.06	24	291070	71	103520	60.52	NA	14	17	97.0	96.9	0.1	0.9	2.1	1764
DBVPG_3777.AAFTF	197	20006878	519	893420	28241	101557.76	22	296500	69	87077	60.54	NA	20	11	96.6	96.5	0.1	1.1	2.3	1764
DBVPG_3778.AAFTF	324	19961131	503	580083	26116	61608.43	38	157324	126	43200	60.57	NA	21	11	96.4	96.3	0.1	1.4	2.2	1764
DBVPG_3780.AAFTF	157	20523354	519	1277728	50815	130722.00	19	312908	60	115424	60.56	NA	17	14	0.1	0.1	0.0	0.0	99.9	1764
DBVPG_3853.AAFTF	173	18293568	505	983891	22476	105743.17	19	309925	62	80096	62.00	NA	14	14	90.6	90.4	0.2	1.3	8.1	1764
DBVPG_3854.AAFTF	878	39178349	500	642026	4573	44622.27	75	157877	255	40887	60.59	NA	39	25	97.4	24.4	73.0	0.9	1.7	1764
DBVPG_3855.AAFTF	372	39597867	500	1392531	16006	106445.88	37	347681	117	88744	60.65	NA	31	32	97.8	18.8	79.0	0.6	1.6	1764
DBVPG_3856.AAFTF	986	39916276	502	317443	19800	40483.04	131	94620	436	25700	60.65	NA	37	28	97.0	25.3	71.7	0.9	2.1	1764
DBVPG_3857.AAFTF	876	39933818	502	496447	15442	45586.55	97	130616	329	33029	60.62	NA	30	35	97.4	23.4	74.0	0.9	1.7	1764
DBVPG_3858.AAFTF	157	19982790	520	1072808	28281	127278.92	17	351381	55	114846	60.57	NA	17	14	97.0	96.9	0.1	0.8	2.2	1764
DBVPG_3983.AAFTF	440	20017813	500	895657	760	45495.03	22	267442	73	71308	60.47	NA	10	20	96.1	95.9	0.2	0.9	3.0	1764
DBVPG_3984.AAFTF	226	19890191	501	897173	11193	88009.69	22	281932	72	73135	60.54	NA	10	19	95.8	95.7	0.1	0.9	3.3	1764
DBVPG_4201.AAFTF	214	20077253	500	793939	8495	93818.94	20	341457	64	94092	60.53	NA	13	19	96.2	96.1	0.1	1.1	2.7	1764
DBVPG_4202.AAFTF	325	19895892	500	828442	1446	61218.13	26	260421	80	67644	60.51	NA	15	16	95.8	95.7	0.1	0.9	3.3	1764
DBVPG_4203.AAFTF	184	19447172	503	972693	9348	105691.15	18	394487	53	103871	60.56	NA	17	14	94.3	94.2	0.1	0.9	4.8	1764
DBVPG_4304.AAFTF	171	19438924	515	972775	29504	113677.92	19	334777	60	103573	60.56	NA	12	19	94.3	94.2	0.1	1.1	4.6	1764
DBVPG_4376.AAFTF	216	19739854	508	828287	23625	91388.21	25	272188	76	78196	60.58	NA	19	12	95.2	95.2	0.0	1.1	3.7	1764
DBVPG_4377.AAFTF	1304	20615880	500	500141	639	15809.72	36	179318	123	44375	60.19	NA	19	12	95.8	95.7	0.1	1.2	3.0	1764
DBVPG_4378.AAFTF	159	19666006	504	1135405	10852	123685.57	16	403744	52	119040	60.58	NA	15	17	95.5	95.4	0.1	0.9	3.6	1764
DBVPG_4380.AAFTF	5903	36643034	500	344748	2979	6207.53	791	12779	3113	2710	59.98	NA	24	34	90.3	62.3	28.0	5.1	4.6	1764
DBVPG_4408.AAFTF	273	19867656	504	731047	17726	72775.30	28	199765	96	62660	60.55	NA	12	19	95.8	95.7	0.1	1.0	3.2	1764
DBVPG_4466.AAFTF	212	19442786	500	828441	21985	91711.25	22	296982	71	86454	60.56	NA	16	15	94.3	94.2	0.1	1.1	4.6	1764
DBVPG_4530.AAFTF	106	19690518	548	1107391	98663	185759.60	14	427117	46	128749	60.70	NA	13	20	97.4	97.4	0.0	0.8	1.8	1764
DBVPG_4531.AAFTF	155	19654437	500	1161962	22334	126802.82	15	469118	49	109149	60.59	NA	16	17	97.2	97.2	0.0	0.7	2.1	1764
DBVPG_4534.AAFTF	160	19685902	508	1088928	34334	123036.89	17	373110	58	101711	60.04	NA	12	13	95.8	95.7	0.1	1.5	2.7	1764
DBVPG_4610.AAFTF	199	20869536	501	1125062	56964	104872.04	28	223313	87	79809	64.09	NA	12	15	97.5	97.4	0.1	0.8	1.7	1764
DBVPG_4618.AAFTF	173	20367311	507	1018960	22476	117730.12	17	442257	56	108501	60.53	NA	11	21	0.1	0.1	0.0	0.0	99.9	1764
DBVPG_4629.AAFTF	262	21020045	500	670969	3841	80229.18	22	344369	64	84933	68.45	NA	8	14	98.9	98.8	0.1	0.3	0.8	1764
DBVPG_4669.AAFTF	128	18630553	515	1139676	41467	145551.20	17	400848	47	122694	60.58	NA	11	18	91.0	91.0	0.0	0.9	8.1	1764
DBVPG_4920.AAFTF	268	20002046	501	756537	31456	74634.50	31	189416	105	54944	60.53	NA	16	16	96.4	96.3	0.1	1.4	2.2	1764
DBVPG_4945.AAFTF	288	19799631	511	756334	19450	68748.72	31	172060	106	53955	60.57	NA	15	18	95.7	95.6	0.1	1.1	3.2	1764
DBVPG_4946.AAFTF	198	20134454	510	1265189	50805	101689.16	23	266308	77	88180	60.53	1	16	15	96.7	96.5	0.2	1.1	2.2	1764
DBVPG_4947.AAFTF	259	20035248	511	935417	16843	77356.17	24	252753	87	64308	60.55	NA	18	15	95.9	95.7	0.2	1.3	2.8	1764
DBVPG_4949.AAFTF	141	19738608	504	843988	49210	139990.13	18	408297	53	116870	60.56	NA	16	13	95.6	95.6	0.0	0.9	3.5	1764
DBVPG_4950.AAFTF	147	19745012	521	996523	40524	134319.81	18	385409	54	114654	60.57	NA	14	17	95.4	95.4	0.0	1.1	3.5	1764
DBVPG_4956.AAFTF	208	19853059	515	902538	25441	95447.40	21	300358	71	72696	60.57	NA	15	14	96.1	96.0	0.1	1.1	2.8	1764
DBVPG_4957.AAFTF	171	19953990	501	942023	21517	116690.00	17	421765	56	112830	60.57	NA	17	12	96.4	96.3	0.1	1.1	2.5	1764
DBVPG_4958.AAFTF	153	19933150	515	1210386	56422	130282.03	20	308963	61	111139	60.56	NA	15	18	95.8	95.6	0.2	0.9	3.3	1764
DBVPG_4962.AAFTF	184	19969266	507	1068526	51626	108528.62	25	258738	73	89103	60.57	NA	20	11	96.8	96.7	0.1	1.1	2.1	1764
DBVPG_4963.AAFTF	164	19977185	520	790759	52189	121812.10	19	368834	62	94993	60.57	NA	20	10	96.8	96.7	0.1	1.0	2.2	1764
DBVPG_4964.AAFTF	157	20152119	515	949043	35463	128357.45	19	341949	56	113907	60.55	1	17	12	96.3	95.2	1.1	1.1	2.6	1764
DBVPG_5225.AAFTF	159	19920585	512	1266055	58524	125286.70	22	306911	64	110030	60.58	1	21	11	96.6	96.4	0.2	1.0	2.4	1764
DBVPG_5226.AAFTF	147	20245580	512	706721	74703	137725.03	22	321155	66	110035	60.57	NA	17	16	96.7	96.3	0.4	1.1	2.2	1764
DBVPG_5227.AAFTF	157	19915202	512	920376	54423	126848.42	20	330112	61	102960	60.58	NA	14	18	96.7	96.6	0.1	1.1	2.2	1764
DBVPG_5228.AAFTF	165	19998087	508	774668	52407	121200.53	20	321943	65	98399	60.58	NA	14	18	96.5	96.1	0.4	1.1	2.4	1764
DBVPG_5229.AAFTF	135	19491809	508	1119402	53584	144383.77	16	430096	51	120011	60.57	1	13	19	94.7	94.6	0.1	1.0	4.3	1764
DBVPG_5235.AAFTF	145	19970430	512	1197157	53182	137727.10	18	346525	56	117053	60.58	2	13	19	96.7	96.6	0.1	1.0	2.3	1764
DBVPG_5236.AAFTF	186	19512202	515	834451	24721	104904.31	21	334637	63	103563	60.57	NA	19	13	94.3	94.2	0.1	1.1	4.6	1764
DBVPG_5757.AAFTF	188	19899856	515	924055	43157	105850.30	23	258494	72	98865	60.57	NA	14	16	94.9	94.8	0.1	0.9	4.2	1764
DBVPG_5758.AAFTF	189	19548202	515	1137224	27541	103429.64	22	259504	69	104453	60.57	NA	11	16	94.4	94.4	0.0	0.7	4.9	1764
DBVPG_5759.AAFTF	202	19389175	508	1160228	32870	95986.01	22	267910	72	71764	60.57	NA	12	14	93.1	93.1	0.0	1.0	5.9	1764
DBVPG_6081.AAFTF	437	20970331	500	385356	4880	47987.03	41	185429	126	42532	68.43	NA	12	20	97.9	97.8	0.1	0.7	1.4	1764
DBVPG_6083.AAFTF	257	20399257	501	911727	17677	79374.54	24	254829	85	57367	68.03	NA	16	11	98.5	98.3	0.2	0.6	0.9	1764
DBVPG_6091.AAFTF	201	19963507	520	818769	37629	99320.93	25	245288	79	78186	60.57	1	13	19	96.6	96.5	0.1	1.2	2.2	1764
DBVPG_6092.AAFTF	184	19956562	506	799185	35883	108459.58	21	316982	66	86290	60.57	1	14	19	96.8	96.7	0.1	1.0	2.2	1764
DBVPG_6093.AAFTF	225	19524750	504	646944	31907	86776.67	27	247176	86	65669	60.57	NA	16	15	93.7	93.6	0.1	1.4	4.9	1764
DBVPG_6121.AAFTF	203	20237638	510	1019545	4741	99692.80	16	466933	48	118752	61.91	NA	14	15	97.8	97.6	0.2	0.7	1.5	1764
DBVPG_6195.AAFTF	347	20893848	518	952102	7097	60212.82	34	190575	108	57722	66.99	NA	7	9	97.6	97.4	0.2	1.0	1.4	1764
DBVPG_6202.AAFTF	426	21051107	502	738080	7941	49415.74	43	148928	140	41045	66.97	NA	9	11	97.6	97.2	0.4	0.7	1.7	1764
DBVPG_6593.AAFTF	173	20141446	520	944096	33722	116424.54	19	329995	62	103877	60.53	NA	14	17	96.9	96.4	0.5	0.9	2.2	1764
DBVPG_6660.AAFTF	176	19761198	503	1574268	21568	112279.53	15	393155	53	103530	60.57	1	17	11	94.6	94.5	0.1	0.7	4.7	1764
DBVPG_6739.AAFTF	203	20599790	504	1181918	3206	101476.80	14	476832	45	126369	61.78	NA	11	15	97.9	97.8	0.1	0.6	1.5	1764
DBVPG_6740.AAFTF	374	19883901	505	673494	14343	53165.51	34	189723	131	33897	63.14	NA	NA	6	93.9	93.7	0.2	1.7	4.4	1764
DBVPG_6741.AAFTF	201	19809406	502	1378431	36959	98554.26	22	255271	78	72871	60.57	NA	17	12	96.0	95.9	0.1	1.0	3.0	1764
DBVPG_6742.AAFTF	181	19900736	515	910305	16135	109948.82	20	320793	59	101258	60.55	1	18	10	96.2	96.1	0.1	1.0	2.8	1764
DBVPG_6743.AAFTF	179	20105951	514	962049	44234	112323.75	19	318384	68	83513	60.55	NA	19	12	96.8	96.5	0.3	0.9	2.3	1764
DBVPG_6803.AAFTF	178	19814329	500	1199216	19348	111316.46	18	319576	61	106257	60.57	NA	13	18	96.0	95.9	0.1	1.0	3.0	1764
DBVPG_7019.AAFTF	185	19413452	522	972649	21375	104937.58	20	304813	63	109702	60.58	NA	16	14	94.2	94.1	0.1	1.1	4.7	1764
DBVPG_7021.AAFTF	262	20415923	501	911829	12456	77923.37	23	276614	79	61385	68.02	NA	14	15	98.6	98.5	0.1	0.4	1.0	1764
DBVPG_7316.AAFTF	92	20813282	561	1605105	101298	226231.33	12	646139	38	139954	64.23	2	16	17	97.7	97.7	0.0	0.9	1.4	1764
DBVPG_7323.AAFTF	108	21067437	500	1614194	54528	195068.86	12	496385	38	173104	64.16	NA	12	14	98.2	98.0	0.2	0.7	1.1	1764
DBVPG_7539.AAFTF	233	21839799	501	1429128	24276	93733.04	22	317608	84	67690	67.52	NA	15	16	97.4	97.3	0.1	1.0	1.6	1764
DBVPG_7922.AAFTF	525	20297710	500	306167	11562	38662.30	66	101732	194	32730	61.30	NA	18	11	96.4	96.4	0.0	1.2	2.4	1764
DBVPG_7947.AAFTF	146	18912674	513	1460850	18465	129538.86	12	417786	42	112243	65.66	NA	15	8	98.1	98.0	0.1	0.4	1.5	1764
DBVPG_8043.AAFTF	181	19814201	513	1070664	38029	109470.72	21	279925	68	97572	60.03	1	18	13	96.1	96.0	0.1	1.5	2.4	1764
DBVPG_8058.AAFTF	277	20914558	503	659067	11151	75503.82	27	252579	85	68333	68.48	NA	21	10	99.0	98.9	0.1	0.4	0.6	1764
EXF_10545.AAFTF	259	22237162	525	1723339	13580	85857.77	21	336236	78	67023	49.23	NA	11	10	96.3	96.2	0.1	1.2	2.5	1764
EXF_11626.AAFTF	396	21839626	516	706662	7832	55150.57	37	182870	127	45186	67.34	NA	11	21	97.9	97.4	0.5	0.6	1.5	1764
EXF_12281.AAFTF	178	19877550	527	1041024	30425	111671.63	18	329296	62	103589	60.57	1	13	17	95.9	95.9	0.0	1.0	3.1	1764
EXF_12333.AAFTF	86	20276635	510	1495111	14365	235774.83	10	737004	28	220505	59.39	5	16	16	96.6	96.6	0.0	0.7	2.7	1764
EXF_12768.AAFTF	1760	21786729	500	424965	1142	12378.82	58	120276	256	10047	60.45	1	16	20	96.3	95.8	0.5	1.4	2.3	1764
EXF_13250.AAFTF	208	19966703	505	1186364	10479	95993.76	19	325729	62	81128	60.56	NA	13	10	96.0	95.9	0.1	1.0	3.0	1764
EXF_13255.AAFTF	187	19684435	513	1188692	14793	105264.36	14	384306	53	89032	60.57	1	11	12	93.8	93.7	0.1	1.0	5.2	1764
EXF_13260.AAFTF	171	19908870	515	849578	31266	116426.14	18	392205	59	103530	60.57	NA	10	21	96.3	96.2	0.1	0.9	2.8	1764
EXF_13261.AAFTF	178	19657770	500	1008797	21986	110436.91	19	341070	59	103918	60.59	1	18	13	94.3	94.2	0.1	0.9	4.8	1764
EXF_13298.AAFTF	434	20989816	501	692025	6387	48363.63	41	165533	133	43880	66.97	NA	11	9	97.1	96.9	0.2	1.2	1.7	1764
EXF_13474.AAFTF	194	20276952	503	973083	9766	104520.37	17	366031	58	99125	62.01	1	15	12	98.3	98.1	0.2	0.6	1.1	1764
EXF_13599.AAFTF	183	19445666	531	827065	41771	106260.47	24	254905	71	100827	60.57	NA	14	14	94.1	94.1	0.0	0.9	5.0	1764
EXF_13600.AAFTF	170	19889423	515	807942	41010	116996.61	22	318539	62	111109	60.57	NA	16	15	95.8	95.5	0.3	1.0	3.2	1764
EXF_13601.AAFTF	176	19977577	506	933622	39011	113508.96	18	319575	63	92149	60.58	NA	10	18	96.8	96.7	0.1	1.0	2.2	1764
EXF_13602.AAFTF	160	19773526	516	969595	27660	123584.54	18	383645	55	114618	60.58	1	16	16	94.5	94.3	0.2	1.1	4.4	1764
EXF_13604.AAFTF	172	20128478	510	925032	63494	117026.03	24	247111	76	90382	60.54	NA	16	17	96.6	96.4	0.2	1.0	2.4	1764
EXF_13753.AAFTF	242	20400355	501	889262	16232	84298.99	25	258181	76	69455	68.02	NA	8	23	98.5	98.4	0.1	0.5	1.0	1764
EXF_14446.AAFTF	153	18812521	509	986437	50562	122957.65	22	285230	64	98767	62.59	NA	12	17	95.3	95.2	0.1	1.3	3.4	1764
EXF_14539.AAFTF	221	20874131	506	786627	18246	94453.08	26	276544	73	84040	68.48	NA	20	11	99.0	98.8	0.2	0.4	0.6	1764
EXF_1510.AAFTF	203	19998397	515	1086425	42704	98514.27	25	256926	82	67655	60.57	NA	14	18	96.5	96.4	0.1	1.3	2.2	1764
EXF_1565.AAFTF	161	19916668	515	700011	54620	123706.01	21	319582	64	103788	60.57	NA	14	17	96.3	96.2	0.1	1.0	2.7	1764
EXF_1585.AAFTF	177	19416741	502	980163	24323	109699.10	19	334651	58	103681	60.59	NA	18	13	94.4	94.3	0.1	1.0	4.6	1764
EXF_1676.AAFTF	158	19599678	515	838139	40059	124048.59	21	320667	59	125018	60.57	NA	19	12	94.8	94.7	0.1	1.0	4.2	1764
EXF_1686.AAFTF	187	19931892	515	971138	14309	106587.66	19	354341	60	103561	60.55	NA	14	18	96.0	95.9	0.1	1.0	3.0	1764
EXF_1695.AAFTF	540	19451369	500	1084955	871	36021.05	21	316530	63	97265	60.53	NA	14	20	92.3	92.0	0.3	1.1	6.6	1764
EXF_1704.AAFTF	158	20033111	513	882336	42466	126791.84	19	355997	58	107121	60.58	NA	19	13	94.7	94.6	0.1	1.1	4.2	1764
EXF_2251.AAFTF	185	20010260	513	969385	16078	108163.57	20	323137	62	103929	60.54	NA	15	17	94.7	94.5	0.2	0.9	4.4	1764
EXF_3417.AAFTF	175	19729589	522	1044269	11040	112740.51	19	323123	58	114615	60.55	NA	16	16	94.7	94.6	0.1	1.0	4.3	1764
EXF_3438.AAFTF	384	20886692	505	502629	13176	54392.43	40	161889	137	44481	67.00	NA	10	7	97.4	97.2	0.2	0.9	1.7	1764
EXF_3464.AAFTF	202	20960959	500	2312860	1652	103767.12	7	981164	24	172529	48.26	NA	NA	NA	87.3	87.2	0.1	3.0	9.7	1764
EXF_3530.AAFTF	180	19798601	500	846114	38850	109992.23	21	318685	64	87449	60.57	NA	15	16	95.6	95.5	0.1	1.1	3.3	1764
EXF_3538.AAFTF	164	19317636	520	872836	36668	117790.46	18	371588	56	101320	60.56	NA	12	18	92.5	92.4	0.1	1.0	6.5	1764
EXF_3540.AAFTF	154	18841682	501	606840	36414	122348.58	20	347245	55	118272	60.55	NA	14	16	91.8	91.7	0.1	1.0	7.2	1764
EXF_3544.AAFTF	202	19911452	500	1008811	15050	98571.54	22	319600	65	95963	60.55	NA	18	14	96.0	95.9	0.1	0.8	3.2	1764
EXF_3546.AAFTF	322	20909805	501	558297	16779	64937.28	34	186299	113	53510	66.96	NA	10	8	97.5	97.3	0.2	0.7	1.8	1764
